word,keywordLabel1,keywordLabel2,keywordLabel3
インテリジェント音響空間,インテリジェント拡声システム,３D音響,音環境デザイン
マルチモーダル認識,マルチモーダルインタフェース,画像認識,環境認識
深層メディアアート,ディープラーニング,画像/映像合成,テクノロジーアート
VRデータビジュアライゼーション,バーチャルリアリティ,データ可視化,ビジュアライゼーション
音声認識デザイン,音声認識,サウンドデザイン,
エージェント型UI,インタフェースエージェント,ユーザインタフェースデザイン,
人工知能IoTプロダクト,IoT（Internet of Things）,プロダクトデザイン/デジタルファブリケーション,人工知能
拡張現実エクスペリエンス,AR（拡張現実）,ユーザエクスペリエンスデザイン/人間中心設計,バーチャルリアリティ
ビッグデータ音響分析,ビッグデータ,音の情景分析,データマイニング
歌声合成AI,歌声合成,機械学習,人工知能
科学的メディア表現,サイエンティフィック・ビジュアライゼーション,画像/映像処理,コミュニケーションデザイン
ユビキタス音響ネットワーク,ユビキタスコンピューティング,音声伝達,コンピュータネットワーク
ITSマルチエージェント,ITS（Intelligent Transport Systems）,マルチエージェントシステム,環境認識
テキスト音声インタフェース,テキストマイニング,音声認識,
インテリジェント映像デザイン,インテリジェントインタフェースデザイン,映像・CG・アニメーションデザイン,画像/映像処理
ソーシャルメディア工学,ソーシャルデザイン,メディアデザイン,人工知能
音場AIシミュレーション,音場シミュレーション,機械学習,話者認識
3D音響Webデザイン,Webデザイン/アプリケーションデザイン,３D音響,
ITSサービスデザイン,ITS（Intelligent Transport Systems）,画像/映像符号化と伝送,サービスデザイン
デジタル音響ファブリケーション,プロダクトデザイン/デジタルファブリケーション,サウンドデザイン,音場シミュレーション
映像符号化伝送工学,画像/映像符号化と伝送,コンピュータネットワーク,
人間中心メディア設計,ユーザエクスペリエンスデザイン/人間中心設計,メディアデザイン,インテリジェントプロダクトデザイン
話者適応音声合成,話者認識,歌声合成,機械学習
リアルタイム映像認識,画像/映像処理,画像認識,機械学習
機械学習音響解析,機械学習,音の情景分析,音場シミュレーション
バーチャルサウンドスケープ,バーチャルリアリティ,音環境デザイン,サウンドデザイン
リアルタイム映像処理,ディープラーニング,画像/映像処理,画像認識
IoTサービスデザイン,サービスデザイン,IoT（Internet of Things）,ユビキタスコンピューティング
通信ネットワークメディア,コンピュータネットワーク,画像/映像符号化と伝送,音声伝達
CG生成AI,人工知能,映像・CG・アニメーションデザイン,画像/映像合成
テキストマイニングデザイン,テキストマイニング,データ可視化,ビジュアライゼーション
エージェント協調システム,マルチエージェントシステム,インタフェースエージェント,インテリジェント拡声システム
AR音響ガイダンス,AR（拡張現実）,３D音響,ユーザインタフェースデザイン
3D音場ビジュアライゼーション,３D音響,音場シミュレーション,ビジュアライゼーション
スマート拡声工学,インテリジェント拡声システム,ITS（Intelligent Transport Systems）,音声伝達
音声UI/UX,ユーザエクスペリエンスデザイン/人間中心設計,音声認識,ユーザインタフェースデザイン
ジェネラティブテクノロジーアート,テクノロジーアート,画像/映像合成,ディープラーニング
AIプロダクトデザイン,プロダクトデザイン/デジタルファブリケーション,サービスデザイン,人工知能
音響コミュニケーションデザイン,コミュニケーションデザイン,サウンドデザイン,音声伝達
音の情景ビジュアリゼーション,データマイニング,音の情景分析,データ可視化
映像ストリーミング工学,画像/映像符号化と伝送,コンピュータネットワーク,画像/映像合成
話者認識インタフェース,話者認識,マルチモーダルインタフェース,インテリジェントインタフェースデザイン
歌声メディアアート,歌声合成,テクノロジーアート,メディアデザイン
ITS環境認識メディア,ITS（Intelligent Transport Systems）,環境認識,画像/映像処理
音声環境UX,音声伝達,ユーザエクスペリエンスデザイン/人間中心設計,
符号化映像工学,画像/映像符号化と伝送,映像・CG・アニメーションデザイン,
音響エージェント,インタフェースエージェント,音声認識,
画像生成メディア工学,画像/映像処理,人工知能,メディアデザイン
音場シミュレーションWeb,Webデザイン/アプリケーションデザイン,音場シミュレーション,サウンドデザイン
ソーシャルIoT,ソーシャルデザイン,IoT（Internet of Things）,サービスデザイン
音響マルチエージェント,マルチエージェントシステム,音の情景分析,音環境デザイン
ビッグデータ映像解析,ビッグデータ,画像/映像処理,画像認識
インテリジェント音響,インテリジェントプロダクトデザイン,サウンドデザイン,３D音響
